ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
39	"ENSG00000173611.18"	"SCAI"	chr9	-	124974174	124974276	124975246	124975389	124971670	124971844	124976113	124976186	39	1,1	0,2	1,2	0,0	198	198	0.334842787809	0.8637065077763677	1.0,0.333	1.0,1.0	-0.334
40	"ENSG00000119522.18"	"DENND1A"	chr9	-	123676719	123676789	123757702	123757822	123671290	123671371	123769513	123769563	40	8,6	11,3	6,9	5,1	198	169	0.176705009524	0.6097725249288508	0.383,0.631	0.506,0.885	-0.189
41	"ENSG00000119522.18"	"DENND1A"	chr9	-	123757702	123757822	123769513	123769563	123676719	123676789	123792586	123792630	41	7,4	13,10	4,4	6,7	149	198	0.63140412296	1.0	0.417,0.347	0.47,0.432	-0.069
42	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207767195	207767778	207767823	207759638	207759724	207770320	207770362	42	77,71	100,99	51,41	140,117	198	144	0.0001043927353	0.0033374971550323533	0.359,0.343	0.209,0.203	0.145
43	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207767195	207767778	207767823	207759638	207759724	207783291	207783330	43	3,4	0,5	5,1	3,4	198	144	0.231649941255	0.7152144246149024	1.0,0.368	0.548,0.154	0.333
45	"ENSG00000117335.21"	"CD46"	chr1	+	207767778	207767823	207770320	207770362	207767012	207767195	207783291	207783330	45	42,26	131,130	53,27	124,86	144	141	0.0836926863219	0.3946809112013245	0.239,0.164	0.295,0.235	-0.064
46	"ENSG00000117335.21"	"CD46"	chr1	+	207770320	207770362	207783291	207783330	207767012	207767195	207785070	207785106	46	45,42	123,107	33,18	133,86	141	138	0.0246988243444	0.19176872901687714	0.264,0.278	0.195,0.17	0.089
47	"ENSG00000117335.21"	"CD46"	chr1	+	207770320	207770362	207783291	207783330	207767012	207767823	207785070	207785106	47	25,17	128,108	38,9	133,89	141	138	0.688628829093	1.0	0.16,0.133	0.219,0.09	-0.008
48	"ENSG00000117335.21"	"CD46"	chr1	+	207783291	207783330	207785070	207785106	207770320	207770362	207785655	207785682	48	83,92	1,0	96,94	0,1	138	135	1	1.0	0.988,1.0	1.0,0.989	-0.0
50	"ENSG00000089234.16"	"BRAP"	chr12	-	111681636	111681835	111683145	111683307	111679150	111679340	111685710	111685956	50	15,9	6,8	8,8	6,2	198	198	0.68120402288	1.0	0.714,0.529	0.571,0.8	-0.064
51	"ENSG00000090006.18"	"LTBP4"	chr19	+	40616888	40617020	40617099	40617225	40614314	40614446	40619346	40619493	51	1,3	2,1	7,3	5,4	198	198	0.713211073746	1.0	0.333,0.75	0.583,0.429	0.035
60	"ENSG00000147535.17"	"PLPP5"	chr8	-	38267896	38267960	38268370	38268407	38267266	38267391	38268881	38268990	60	0,3	40,26	0,0	10,2	136	163	0.635777926857	1.0	0.0,0.121	0.0,0.0	0.06
61	"ENSG00000147535.17"	"PLPP5"	chr8	-	38267896	38267960	38268370	38268461	38267266	38267391	38268881	38268990	61	22,19	40,26	10,1	10,2	190	163	0.580685362005	1.0	0.321,0.385	0.462,0.3	-0.028
62	"ENSG00000165240.22"	"ATP7A"	chrX	+	77922998	77923042	77962622	77962814	77910738	77910835	77971620	77971761	62	0,1	1,1	5,0	0,1	143	198	0.00105317865086	0.020262038822740174	0.0,0.581	1.0,0.0	-0.21
63	"ENSG00000165240.22"	"ATP7A"	chrX	+	77922998	77923052	77962622	77962814	77910739	77910835	77971620	77971761	63	0,1	1,1	4,0	0,1	153	198	0.00155731752529	0.027939900745019838	0.0,0.564	1.0,0.0	-0.218
64	"ENSG00000165240.22"	"ATP7A"	chrX	+	77922998	77923100	77962622	77962814	77910738	77910835	77971620	77971761	64	0,1	1,1	4,0	0,1	198	198	0.00248622355176	0.03636112011928119	0.0,0.5	1.0,0.0	-0.25
65	"ENSG00000165240.22"	"ATP7A"	chrX	+	77922998	77923188	77962622	77962814	77910738	77910835	77971620	77971761	65	0,1	1,1	4,0	0,1	198	198	0.00248622355176	0.03636112011928119	0.0,0.5	1.0,0.0	-0.25
68	"ENSG00000070214.17"	"SLC44A1"	chr9	+	105309723	105309866	105335562	105335699	105299219	105299309	105348357	105348451	68	17,22	25,29	5,9	12,9	198	198	0.789204616832	1.0	0.405,0.431	0.294,0.5	0.021
69	"ENSG00000174177.13"	"CTU2"	chr16	+	88707135	88707210	88709937	88710016	88706482	88706598	88710222	88710282	69	17,10	9,13	7,8	3,6	174	178	0.498139654929	1.0	0.659,0.44	0.705,0.577	-0.092
71	"ENSG00000138698.15"	"RAP1GDS1"	chr4	+	98343138	98343261	98352475	98352601	98293407	98293515	98391951	98392080	71	10,6	4,1	8,5	1,3	198	198	0.89027022913	1.0	0.714,0.857	0.889,0.625	0.028
73	"ENSG00000148110.17"	"MFSD14B"	chr9	+	94440984	94441099	94444963	94445182	94438400	94438528	94446822	94446936	73	21,14	16,10	11,2	4,7	198	198	0.668728103853	1.0	0.568,0.583	0.733,0.222	0.098
74	"ENSG00000158301.20"	"GPRASP2"	chrX	+	102713090	102713217	102713781	102713849	102712444	102712552	102714188	102714266	74	1,0	6,4	0,0	0,1	198	167	1	1.0	0.123,0.0	NA,0.0	0.061
75	"ENSG00000158301.20"	"GPRASP2"	chrX	+	102713129	102713217	102713781	102713849	102712444	102712552	102714188	102714266	75	1,1	6,4	0,0	0,1	187	167	1	1.0	0.13,0.183	NA,0.0	0.157
76	"ENSG00000118961.15"	"LDAH"	chr2	-	20790254	20790398	20801291	20801465	20774809	20774979	20823036	20823130	76	5,9	8,9	3,2	11,6	198	198	0.0586637453333	0.33040150869065854	0.385,0.5	0.214,0.25	0.211
80	"ENSG00000128989.11"	"ARPP19"	chr15	-	52564189	52564246	52568847	52568900	52557099	52557222	52569115	52569167	80	16,7	0,3	11,5	3,2	152	156	0.235504436884	0.7180738370067545	1.0,0.705	0.79,0.72	0.098
81	"ENSG00000106723.17"	"SPIN1"	chr9	+	88415606	88415699	88418777	88418951	88388430	88388538	88426381	88426591	81	3,2	7,5	1,0	4,4	192	198	0.00502154036201	0.06064904859449856	0.307,0.292	0.205,0.0	0.197
82	"ENSG00000119139.21"	"TJP2"	chr9	+	69248011	69248224	69251034	69251364	69246689	69246790	69252814	69252900	82	17,17	4,10	3,5	3,4	198	198	0.239255944044	0.7244323431081561	0.81,0.63	0.5,0.556	0.192
83	"ENSG00000139645.11"	"ANKRD52"	chr12	-	56254864	56254952	56255783	56255984	56254577	56254720	56257014	56257085	83	3,7	9,5	1,3	2,1	198	187	0.510707270251	1.0	0.239,0.569	0.321,0.739	-0.126
85	"ENSG00000130714.19"	"POMT1"	chr9	+	131504188	131504340	131506113	131506220	131502947	131503073	131506402	131506453	85	25,24	26,28	9,5	3,8	198	198	0.508161271893	1.0	0.49,0.462	0.75,0.385	-0.092
86	"ENSG00000130714.19"	"POMT1"	chr9	+	131507367	131507514	131508910	131509022	131506402	131506453	131509742	131509808	86	17,23	10,25	3,6	5,1	198	198	0.578776628551	1.0	0.63,0.479	0.375,0.857	-0.061
87	"ENSG00000163939.19"	"PBRM1"	chr3	-	52554723	52554879	52558248	52558413	52550746	52550817	52561766	52561968	87	7,2	27,16	4,2	12,12	198	198	0.927479816713	1.0	0.206,0.111	0.25,0.143	-0.038
95	"ENSG00000188647.13"	"PTAR1"	chr9	-	69718649	69718684	69723325	69723630	69709524	69718568	69732138	69732352	95	6,9	1,0	3,0	1,1	198	134	0.157424128675	0.5664510714484662	0.802,1.0	0.67,0.0	0.566
97	"ENSG00000187239.19"	"FNBP1"	chr9	-	129915965	129915980	129923843	129923996	129908889	129908999	129924959	129925157	97	5,5	1,0	1,1	0,0	198	114	1	1.0	0.742,1.0	1.0,1.0	-0.129
98	"ENSG00000187239.19"	"FNBP1"	chr9	-	129915965	129915980	129923843	129924026	129908889	129908999	129924959	129925157	98	6,4	1,0	2,2	0,0	198	114	1	1.0	0.776,1.0	1.0,1.0	-0.112
99	"ENSG00000119048.9"	"UBE2B"	chr5	+	134376668	134376694	134380718	134380808	134374382	134374463	134388324	134388413	99	8,7	13,16	4,7	9,12	125	189	0.967725302445	1.0	0.482,0.398	0.402,0.469	0.005
103	"ENSG00000155256.18"	"ZFYVE27"	chr10	+	97738476	97738674	97744728	97744915	97737120	97737321	97748268	97748364	103	4,1	13,9	10,8	30,7	198	198	0.0884770407831	0.40665768850414247	0.235,0.1	0.25,0.533	-0.224
104	"ENSG00000155256.18"	"ZFYVE27"	chr10	+	97738476	97738674	97743093	97743164	97737127	97737321	97744728	97744915	104	4,1	14,8	12,8	7,7	198	170	0.000488281184291	0.01098683020715404	0.197,0.097	0.595,0.495	-0.398
105	"ENSG00000181315.11"	"ZNF322"	chr6	-	26643658	26643728	26658557	26658646	26634392	26638728	26659440	26659752	105	7,11	2,1	30,19	3,2	188	169	0.947435642175	1.0	0.759,0.908	0.9,0.895	-0.064
106	"ENSG00000077232.19"	"DNAJC10"	chr2	+	182732498	182732542	182736248	182736386	182731029	182731107	182739544	182740388	106	21,9	1,1	20,11	0,2	143	198	0.303363148992	0.8162270865205545	0.967,0.926	1.0,0.884	0.005
107	"ENSG00000077232.19"	"DNAJC10"	chr2	+	182732498	182732542	182736248	182736386	182731029	182731107	182740298	182740388	107	24,11	5,3	23,13	4,13	143	198	0.207515193259	0.6673639499187367	0.869,0.835	0.888,0.581	0.118
112	"ENSG00000080503.25"	"SMARCA2"	chr9	+	2170418	2170472	2181570	2181676	2161685	2161903	2182140	2182242	112	0,0	9,6	0,1	5,3	153	198	1	1.0	0.0,0.0	0.0,0.301	-0.15
113	"ENSG00000165996.14"	"HACD1"	chr10	-	17599289	17599411	17603559	17603648	17594204	17594383	17603725	17603744	113	2,2	1,7	2,1	2,0	188	198	0.0769919563019	0.3794495973993743	0.678,0.231	0.513,1.0	-0.302
118	"ENSG00000075884.14"	"ARHGAP15"	chr2	+	143436912	143437042	143487372	143487495	143435600	143435699	143519265	143519364	118	24,16	14,17	4,0	10,10	198	198	0.000726930171772	0.015050916127926932	0.632,0.485	0.286,0.0	0.415
119	"ENSG00000172731.15"	"LRRC20"	chr10	-	70323862	70324030	70340552	70340702	70298975	70301508	70376451	70376596	119	0,0	0,1	3,0	2,0	198	198	1	1.0	NA,0.0	0.6,NA	-0.6
120	"ENSG00000008513.17"	"ST3GAL1"	chr8	-	133507198	133507321	133539636	133539729	133499134	133499189	133545773	133545926	120	1,1	2,0	6,0	2,0	192	198	1	1.0	0.34,1.0	0.756,NA	-0.086
138	"ENSG00000100997.20"	"ABHD12"	chr20	-	25303549	25303628	25306832	25306915	25302218	25302346	25307965	25308045	138	20,19	46,42	11,2	14,14	182	178	0.774526059467	1.0	0.298,0.307	0.435,0.123	0.023
139	"ENSG00000100997.20"	"ABHD12"	chr20	-	25309445	25309575	25314924	25314970	25308456	25308494	25317047	25317078	139	2,7	28,23	0,4	12,8	145	198	0.729906556074	1.0	0.089,0.294	0.0,0.406	-0.012
140	"ENSG00000100997.20"	"ABHD12"	chr20	-	25317047	25317078	25319051	25319155	25309445	25309575	25320198	25320318	140	0,0	6,7	3,0	1,1	198	130	0.0714818411808	0.3665837752609109	0.0,0.0	0.663,0.0	-0.332
143	"ENSG00000064313.13"	"TAF2"	chr8	-	119801793	119802025	119803877	119804019	119797661	119797846	119806282	119806401	143	15,8	7,11	17,10	8,7	198	198	0.503714731719	1.0	0.682,0.421	0.68,0.588	-0.083
144	"ENSG00000064313.13"	"TAF2"	chr8	-	119806282	119806401	119817983	119818058	119801793	119802025	119819345	119819506	144	0,1	6,5	0,0	8,7	174	198	1	1.0	0.0,0.185	0.0,0.0	0.092
145	"ENSG00000064313.13"	"TAF2"	chr8	-	119819345	119819508	119831676	119831731	119806282	119806401	119832481	119832834	145	8,13	6,5	10,5	8,7	154	198	0.215291168907	0.6852752579850923	0.632,0.77	0.616,0.479	0.154
159	"ENSG00000205628.5"	"LINC01446"	chr7	-	53780156	53780230	53811507	53811574	53779945	53780038	53811659	53811931	159	1,3	8,3	7,3	1,2	166	173	0.00523807854236	0.06256913599500352	0.115,0.51	0.879,0.61	-0.432
160	"ENSG00000205628.5"	"LINC01446"	chr7	-	53780156	53780230	53811507	53811571	53779945	53780038	53811659	53811942	160	1,1	8,3	4,2	1,2	163	173	0.00163015009227	0.02812655794123	0.117,0.261	0.809,0.515	-0.473
161	"ENSG00000070756.17"	"PABPC1"	chr8	-	100712361	100712457	100712651	100712789	100709458	100709731	100713086	100713181	161	142,158	117,144	66,60	54,44	198	195	0.543686835531	1.0	0.544,0.519	0.546,0.573	-0.028
162	"ENSG00000104450.13"	"SPAG1"	chr8	+	100233410	100233537	100239239	100239404	100231155	100231288	100240402	100240771	162	3,7	9,7	8,0	0,0	198	198	1	1.0	0.25,0.5	1.0,NA	-0.625
163	"ENSG00000132549.20"	"VPS13B"	chr8	+	99507136	99507203	99507769	99507911	99502835	99502950	99511103	99511512	163	2,10	2,2	2,10	3,2	166	198	0.684405363147	1.0	0.544,0.856	0.443,0.856	0.05
165	"ENSG00000164941.14"	"INTS8"	chr8	+	94838462	94838618	94841490	94841591	94836523	94836631	94842346	94842488	165	21,22	18,34	10,10	33,14	198	198	0.111444983711	0.46061101632645246	0.538,0.393	0.233,0.417	0.141
166	"ENSG00000164941.14"	"INTS8"	chr8	+	94838493	94838618	94841490	94841591	94836523	94836631	94842346	94842488	166	3,1	18,34	0,5	33,14	198	198	0.70621801594	1.0	0.143,0.029	0.0,0.263	-0.046
171	"ENSG00000085719.13"	"CPNE3"	chr8	+	86521603	86521714	86524876	86524997	86515461	86515499	86528535	86528677	171	1,0	3,3	0,0	2,0	198	198	1	1.0	0.25,0.0	0.0,NA	0.125
172	"ENSG00000169045.19"	"HNRNPH1"	chr5	-	179616868	179616958	179617020	179617110	179616125	179616218	179617513	179617649	172	5,12	38,51	0,4	11,25	189	189	0.134765000073	0.5297994758746871	0.116,0.19	0.0,0.138	0.084
173	"ENSG00000169045.19"	"HNRNPH1"	chr5	-	179620891	179621035	179621241	179621397	179619268	179619407	179623036	179623164	173	39,91	30,61	10,24	2,4	198	198	0.000345827087592	0.008742187074709395	0.565,0.599	0.833,0.857	-0.263
175	"ENSG00000129292.21"	"PHF20L1"	chr8	+	132814636	132814889	132816887	132817076	132811045	132811128	132817338	132817545	175	17,19	21,16	17,27	25,15	198	198	0.764657045648	1.0	0.447,0.543	0.405,0.643	-0.029
178	"ENSG00000147586.10"	"MRPS28"	chr8	-	80002998	80003120	80028694	80028796	79919031	79919148	80029904	80029974	178	3,0	25,24	3,1	24,19	198	198	0.510002200861	1.0	0.107,0.0	0.111,0.05	-0.027
179	"ENSG00000147586.10"	"MRPS28"	chr8	-	80002998	80003180	80028694	80028796	79919124	79919148	80030053	80030232	179	0,0	31,31	1,0	24,22	198	198	1	1.0	0.0,0.0	0.04,0.0	-0.02
181	"ENSG00000091409.16"	"ITGA6"	chr2	+	172470973	172471105	172472773	172472890	172469124	172469380	172474054	172474265	181	10,5	0,0	16,24	1,0	198	198	1	1.0	1.0,1.0	0.941,1.0	0.03
183	"ENSG00000134283.18"	"PPHLN1"	chr12	+	42355160	42355222	42374862	42375074	42335882	42335974	42387455	42387535	183	11,10	5,3	10,4	3,2	161	198	0.770859439423	1.0	0.73,0.804	0.804,0.711	0.009
184	"ENSG00000173418.12"	"NAA20"	chr20	+	20025668	20025767	20026783	20026919	20017358	20017449	20032507	20032653	184	0,3	122,110	0,0	49,29	198	198	1	1.0	0.0,0.027	0.0,0.0	0.013
185	"ENSG00000173418.12"	"NAA20"	chr20	+	20026783	20026919	20032507	20032653	20025676	20025767	20033101	20033629	185	63,72	171,134	44,20	56,48	198	198	0.286973862261	0.797018234557934	0.269,0.35	0.44,0.294	-0.057
188	"ENSG00000215114.10"	"UBXN2B"	chr8	+	58434857	58434948	58439632	58439770	58434394	58434504	58445906	58446068	188	1,3	9,18	5,1	11,13	190	198	0.632799359651	1.0	0.104,0.148	0.321,0.074	-0.072
190	"ENSG00000120992.18"	"LYPLA1"	chr8	-	54062253	54062324	54063327	54063375	54055059	54055133	54065747	54065813	190	34,29	57,70	15,9	18,5	147	170	0.0490377303515	0.2949836351820039	0.408,0.324	0.491,0.675	-0.217
191	"ENSG00000120992.18"	"LYPLA1"	chr8	-	54063327	54063375	54065747	54065813	54062253	54062324	54100907	54100939	191	56,50	23,32	25,6	12,3	165	147	0.822405503199	1.0	0.684,0.582	0.65,0.641	-0.012
192	"ENSG00000164808.17"	"SPIDR"	chr8	+	47293866	47294030	47396375	47396626	47291032	47291137	47440322	47440542	192	43,44	1,0	26,7	0,1	198	198	1	1.0	0.977,1.0	1.0,0.875	0.051
193	"ENSG00000164808.17"	"SPIDR"	chr8	+	47293866	47294030	47407860	47407961	47291032	47291137	47440322	47440542	193	43,44	17,14	26,7	7,12	198	198	0.309955452598	0.8257881788579068	0.717,0.759	0.788,0.368	0.16
194	"ENSG00000164808.17"	"SPIDR"	chr8	+	47396375	47396626	47407860	47407961	47291032	47291137	47440322	47440542	194	1,0	17,14	0,1	7,12	198	198	1	1.0	0.056,0.0	0.0,0.077	-0.01
195	"ENSG00000105486.15"	"LIG1"	chr19	-	48151231	48151336	48153871	48153967	48150087	48150210	48157013	48157140	195	12,15	22,14	12,0	1,1	195	198	0.141174911606	0.5386751734084729	0.356,0.521	0.924,0.0	-0.024
196	"ENSG00000105486.15"	"LIG1"	chr19	-	48151231	48151339	48153871	48153967	48150087	48150210	48157013	48157140	196	12,15	22,14	12,0	1,1	195	198	0.141174911606	0.5386751734084729	0.356,0.521	0.924,0.0	-0.024
199	"ENSG00000104365.16"	"IKBKB"	chr8	+	42272082	42272205	42288633	42288728	42271317	42271469	42290155	42290273	199	1,4	9,9	1,0	2,5	198	194	0.0190144681606	0.16084612366204049	0.098,0.303	0.329,0.0	0.036
200	"ENSG00000165695.10"	"AK8"	chr9	-	132866903	132866953	132875114	132875199	132863664	132863778	132878171	132878777	200	0,0	1,3	0,2	7,0	184	149	0.146907758298	0.552556170484173	0.0,0.0	0.0,1.0	-0.5
202	"ENSG00000100292.18"	"HMOX1"	chr22	+	35386684	35387176	35389863	35389963	35383105	35383226	35393467	35394207	202	0,4	2,1	5,7	2,3	198	198	0.31868040472	0.8418119074863669	0.0,0.8	0.714,0.7	-0.307
203	"ENSG00000135447.17"	"PPP1R1A"	chr12	-	54581975	54582131	54582731	54582795	54580943	54581050	54583210	54583248	203	6,2	3,8	19,2	18,11	163	198	0.754118988296	1.0	0.708,0.233	0.562,0.181	0.099
204	"ENSG00000100802.15"	"C14orf93"	chr14	-	22998426	22999402	23000958	23001037	22995947	22996268	23010100	23010143	204	1,0	8,4	0,0	3,1	178	198	1	1.0	0.122,0.0	0.0,0.0	0.061
206	"ENSG00000104671.8"	"DCTN6"	chr8	+	30175084	30175190	30177125	30177214	30164110	30164175	30179407	30179455	206	48,32	23,37	17,4	9,5	198	188	0.864884833325	1.0	0.665,0.451	0.642,0.432	0.021
218	"ENSG00000089022.15"	"MAPKAPK5"	chr12	+	111865249	111865323	111866155	111866231	111842012	111842769	111867571	111867669	218	10,12	17,8	2,0	4,0	173	175	1	1.0	0.373,0.603	0.336,NA	0.152
219	"ENSG00000089022.15"	"MAPKAPK5"	chr12	+	111866155	111866231	111867571	111867669	111865249	111865323	111868752	111868861	219	18,13	14,9	1,5	6,1	175	197	0.715929485959	1.0	0.591,0.619	0.158,0.849	0.102
229	"ENSG00000156113.25"	"KCNMA1"	chr10	-	77090399	77090510	77108480	77108572	77086487	77086593	77110172	77110343	229	21,18	5,12	2,8	2,4	191	198	0.828501304093	1.0	0.813,0.609	0.509,0.675	0.119
230	"ENSG00000156113.25"	"KCNMA1"	chr10	-	77108285	77108377	77108480	77108572	77090399	77090510	77110172	77110343	230	44,30	0,0	3,15	1,0	191	191	1	1.0	1.0,1.0	0.75,1.0	0.125
241	"ENSG00000165233.18"	"CARD19"	chr9	+	93110567	93110721	93111878	93111938	93107673	93107816	93112217	93112289	241	20,17	21,19	17,7	4,6	198	159	0.073389389146	0.3719080000079347	0.433,0.418	0.773,0.484	-0.203
242	"ENSG00000196511.15"	"TPK1"	chr7	-	144648806	144648879	144667725	144667846	144623165	144623261	144681806	144681864	242	0,0	3,1	2,0	0,2	198	172	0.136001020923	0.5304397912404086	0.0,0.0	1.0,0.0	-0.5
243	"ENSG00000196511.15"	"TPK1"	chr7	-	144648806	144648879	144667725	144667846	144623165	144623261	144682908	144682978	243	0,0	8,3	2,0	1,6	198	172	0.371206174856	0.9118669199287502	0.0,0.0	0.635,0.0	-0.318
244	"ENSG00000196511.15"	"TPK1"	chr7	-	144648806	144648879	144682908	144682978	144623165	144623261	144765879	144765951	244	1,0	2,1	4,1	1,2	169	172	0.00196630551345	0.03166480137955778	0.337,0.0	0.803,0.337	-0.402
246	"ENSG00000178177.17"	"LCORL"	chr4	-	17884274	17884752	17886067	17886161	17866998	17867025	17909093	17909345	246	4,1	0,1	2,4	1,0	193	198	1	1.0	1.0,0.506	0.672,1.0	-0.083
250	"ENSG00000198677.13"	"SKIC3"	chr5	-	95517145	95517215	95520715	95520818	95516915	95517060	95522053	95522307	250	18,34	9,8	41,14	11,8	198	169	0.854731665934	1.0	0.631,0.784	0.761,0.599	0.028
251	"ENSG00000198677.13"	"SKIC3"	chr5	-	95517145	95517322	95520715	95520818	95516915	95517060	95522053	95522307	251	18,34	16,10	41,14	17,11	198	198	0.95454947985	1.0	0.529,0.773	0.707,0.56	0.018
254	"ENSG00000122692.9"	"SMU1"	chr9	-	33071739	33071892	33073595	33073806	33068823	33068934	33076582	33076674	254	103,58	50,39	56,19	29,29	198	198	0.256114494075	0.7482993265795389	0.673,0.598	0.659,0.396	0.108
255	"ENSG00000059378.13"	"PARP12"	chr7	-	140037714	140037856	140041643	140041839	140034234	140034331	140046883	140047007	255	3,6	4,3	1,0	3,0	198	198	1	1.0	0.429,0.667	0.25,NA	0.298
258	"ENSG00000197043.15"	"ANXA6"	chr5	-	151122916	151123011	151126401	151126480	151122146	151122260	151128180	151128239	258	356,250	379,259	71,47	68,49	178	194	0.741170197529	1.0	0.506,0.513	0.532,0.511	-0.012
261	"ENSG00000115648.14"	"MLPH"	chr2	+	237527376	237527516	237534563	237534647	237525600	237525805	237540347	237540533	261	94,63	3,3	14,14	0,0	198	183	0.0736375375837	0.3722976900161949	0.967,0.951	1.0,1.0	-0.041
262	"ENSG00000128595.17"	"CALU"	chr7	+	128754261	128754455	128754528	128754722	128748572	128748804	128758870	128759037	262	78,87	14,15	95,58	17,11	198	198	0.901773758734	1.0	0.848,0.853	0.848,0.841	0.006
265	"ENSG00000008311.16"	"AASS"	chr7	-	122098744	122098866	122101370	122101438	122098449	122098576	122101620	122101680	265	0,1	0,3	2,0	11,0	167	198	1	1.0	NA,0.283	0.177,NA	0.106
267	"ENSG00000119686.10"	"FLVCR2"	chr14	+	75624611	75624752	75633628	75633696	75622057	75622220	75634909	75635013	267	0,1	3,3	6,6	8,6	198	167	0.000774966571341	0.01589412571788051	0.0,0.219	0.387,0.458	-0.313
268	"ENSG00000120697.10"	"ALG5"	chr13	-	36965574	36965726	36971976	36972036	36952513	36952599	36985626	36985740	268	4,7	23,17	0,2	4,4	159	198	0.15358423705	0.5613595080105648	0.178,0.339	0.0,0.384	0.067
