ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
44	"ENSG00000198089.10"	"SFI1"	chr22	+	31924675	31924849	31927043	31927115	31904240	31904362	31942846	31942957	44	1,10	3,5	2,5	0,0	198	171	3.62602796777e-06	0.000291473050715965	0.224,0.633	1.0,1.0	-0.572
45	"ENSG00000198089.10"	"SFI1"	chr22	+	31924675	31924849	31942846	31942957	31904240	31904362	31946239	31946334	45	2,3	11,5	0,0	6,5	198	198	0.000780548511133	0.015402091043624408	0.154,0.375	0.0,0.0	0.265
46	"ENSG00000248751.2"	"RP1-130H16.18"	chr22	-	30684694	30684765	30688761	30688840	30683361	30683549	30689639	30689794	46	0,3	1,3	2,4	1,0	178	170	0.00128905765186	0.022295923089578517	0.0,0.489	0.656,1.0	-0.584
51	"ENSG00000100181.17"	"TPTEP1"	chr22	+	17128057	17128147	17128552	17128675	17119468	17119630	17129416	17129720	51	0,0	0,1	2,0	2,2	189	198	1	1.0	NA,0.0	0.512,0.0	-0.256
52	"ENSG00000197381.11"	"ADARB1"	chr21	+	46536847	46536953	46540708	46540874	46494483	46494708	46548316	46548488	52	0,0	3,1	1,0	7,2	198	198	1	1.0	0.0,0.0	0.125,0.0	-0.062
53	"ENSG00000160221.12"	"C21orf33"	chr21	+	45557058	45557178	45560131	45560224	45555941	45556055	45563086	45563243	53	139,129	95,87	41,22	31,17	198	192	0.646043780614	1.0	0.587,0.59	0.562,0.557	0.029
55	"ENSG00000160201.7"	"U2AF1"	chr21	-	44520562	44520629	44521475	44521542	44515803	44515853	44524424	44524512	55	8,13	78,81	6,9	44,17	166	166	0.154834735325	0.5148441736480851	0.093,0.138	0.12,0.346	-0.117
57	"ENSG00000184012.7"	"TMPRSS2"	chr21	-	42852402	42852529	42860320	42860440	42851098	42851209	42861433	42861520	57	4,1	0,0	10,2	6,0	198	198	0.000490212755333	0.01040587985184141	1.0,1.0	0.625,1.0	0.188
61	"ENSG00000182670.9"	"TTC3"	chr21	+	38529462	38529516	38530432	38530505	38528956	38529208	38532000	38532047	61	18,13	5,1	12,6	3,1	153	172	0.595913348625	1.0	0.802,0.936	0.818,0.871	0.024
62	"ENSG00000159267.10"	"HLCS"	chr21	-	38318308	38318454	38319632	38320587	38311131	38311294	38334335	38334470	62	1,3	8,8	3,2	0,3	198	198	0.016436940306	0.13707234148039285	0.111,0.273	1.0,0.4	-0.508
63	"ENSG00000159267.10"	"HLCS"	chr21	-	38318308	38318454	38320465	38320587	38311131	38311294	38334335	38334470	63	1,3	8,8	3,2	0,3	198	198	0.016436940306	0.13707234148039285	0.111,0.273	1.0,0.4	-0.508
64	"ENSG00000159147.13"	"DONSON"	chr21	-	34955793	34955972	34956895	34957074	34954470	34954552	34958283	34958487	64	14,16	17,10	6,11	5,1	198	198	0.104795140679	0.41357180870782817	0.452,0.615	0.545,0.917	-0.198
65	"ENSG00000102312.16"	"PORCN"	chrX	+	48371222	48371240	48372514	48372529	48370976	48371107	48372627	48372753	65	1,1	0,0	0,1	0,3	117	114	1	1.0	1.0,1.0	NA,0.245	0.755
68	"ENSG00000142192.16"	"APP"	chr21	-	27369674	27369731	27372329	27372497	27354656	27354790	27394155	27394358	68	450,412	22,37	259,232	42,23	198	156	0.0023112756405	0.032380971723405	0.942,0.898	0.829,0.888	0.061
69	"ENSG00000101161.6"	"PRPF6"	chr20	+	62642637	62642856	62648075	62648198	62641552	62641671	62654109	62654231	69	60,53	50,34	49,19	38,26	198	198	0.327260966543	0.7918697998734767	0.545,0.609	0.563,0.422	0.085
71	"ENSG00000205581.6"	"HMGN1"	chr21	-	40717755	40717884	40719172	40719218	40717071	40717200	40720217	40720265	71	1,0	17,9	0,0	18,12	145	198	1	1.0	0.074,0.0	0.0,0.0	0.037
72	"ENSG00000205581.6"	"HMGN1"	chr21	-	40717755	40717884	40719304	40719404	40717071	40717200	40720217	40720265	72	8,5	17,9	0,1	18,12	198	198	9.04886077169e-06	0.0005282272475474037	0.32,0.357	0.0,0.077	0.3
73	"ENSG00000205581.6"	"HMGN1"	chr21	-	40717755	40717884	40719304	40719409	40717071	40717200	40720217	40720265	73	9,10	17,9	0,0	18,12	198	198	2.09534207762e-08	7.33893562686405e-06	0.346,0.526	0.0,0.0	0.436
74	"ENSG00000205581.6"	"HMGN1"	chr21	-	40719172	40719218	40719304	40719404	40717071	40717200	40720217	40720265	74	8,5	1,0	0,1	0,0	198	145	1	1.0	0.854,1.0	NA,1.0	-0.073
76	"ENSG00000101181.13"	"MTG2"	chr20	+	60772907	60773023	60773689	60773908	60770857	60771005	60774174	60774313	76	30,20	20,14	19,4	12,6	198	198	0.678654281721	1.0	0.6,0.588	0.613,0.4	0.088
77	"ENSG00000124209.3"	"RAB22A"	chr20	+	56918773	56918855	56928328	56928400	56886098	56886178	56928487	56928594	77	8,19	26,19	17,13	14,2	181	171	0.0207885170194	0.15743087753610485	0.225,0.486	0.534,0.86	-0.342
80	"ENSG00000000419.8"	"DPM1"	chr20	-	49557401	49557470	49558567	49558663	49552684	49552799	49562273	49562299	80	51,48	20,34	65,46	50,17	195	168	0.884204619451	1.0	0.687,0.549	0.528,0.7	0.004
81	"ENSG00000000419.8"	"DPM1"	chr20	-	49557665	49557746	49558567	49558663	49557401	49557470	49562273	49562299	81	114,91	3,3	123,77	28,5	195	180	3.56721665651e-05	0.0015617720424282843	0.972,0.966	0.802,0.934	0.101
82	"ENSG00000100320.18"	"RBFOX2"	chr22	-	36148659	36148702	36152151	36152191	36142519	36142608	36155934	36156067	82	13,6	0,0	5,6	1,0	139	142	1	1.0	1.0,1.0	0.836,1.0	0.082
83	"ENSG00000100320.18"	"RBFOX2"	chr22	-	36164303	36164396	36174071	36174125	36161469	36161530	36177646	36177790	83	2,5	10,11	7,1	14,8	153	192	0.885847900468	1.0	0.201,0.363	0.386,0.136	0.021
84	"ENSG00000198026.6"	"ZNF335"	chr20	-	44592376	44592629	44594266	44594413	44592111	44592289	44596132	44596273	84	3,1	5,1	11,5	9,4	198	198	0.384792274992	0.8554685981674184	0.375,0.5	0.55,0.556	-0.116
85	"ENSG00000175063.12"	"UBE2C"	chr20	+	44444028	44444179	44444179	44444384	44443022	44443109	44444492	44444552	85	6,2	206,206	0,0	3,0	198	198	1	1.0	0.028,0.01	0.0,NA	0.019
89	"ENSG00000101084.12"	"C20orf24"	chr20	+	35236292	35236403	35238003	35238133	35236117	35236221	35240412	35240960	89	14,10	182,150	3,1	70,49	198	198	0.0372879375277	0.23115221449693674	0.071,0.062	0.041,0.02	0.036
90	"ENSG00000101084.12"	"C20orf24"	chr20	+	35236292	35236403	35238003	35238161	35236117	35236221	35240412	35240960	90	14,10	112,79	3,1	38,35	198	198	0.0300834139086	0.19694795741097476	0.111,0.112	0.073,0.028	0.061
91	"ENSG00000131051.16"	"RBM39"	chr20	-	34327314	34327469	34328446	34328519	34326889	34326939	34328745	34328809	91	74,59	10,4	17,19	5,0	172	198	0.809559550081	1.0	0.895,0.944	0.796,1.0	0.021
92	"ENSG00000272897.1"	"RP1-309K20.6"	chr20	-	34220716	34220845	34243123	34243266	34220438	34220618	34246851	34246936	92	28,21	43,28	15,9	13,6	198	198	0.093263904975	0.3854357842772124	0.394,0.429	0.536,0.6	-0.157
93	"ENSG00000101019.17"	"UQCC1"	chr20	-	33971840	33971936	33974079	33974192	33969720	33969828	33981894	33981999	93	0,1	54,17	0,0	15,11	198	195	1	1.0	0.0,0.055	0.0,0.0	0.028
95	"ENSG00000100983.5"	"GSS"	chr20	-	33529515	33529632	33530290	33530430	33524745	33524826	33530733	33530809	95	47,27	59,34	19,13	21,4	198	198	0.160418771082	0.5275744091217888	0.443,0.443	0.475,0.765	-0.177
97	"ENSG00000125970.7"	"RALY"	chr20	+	32661368	32661441	32661624	32661672	32659871	32660011	32663679	32663846	97	14,5	82,76	13,7	39,27	172	147	0.0144863758088	0.12806057880449265	0.127,0.053	0.222,0.181	-0.112
99	"ENSG00000101004.10"	"NINL"	chr20	-	25478845	25478982	25481475	25481646	25477298	25477439	25484587	25484740	99	1,7	3,6	4,6	5,3	198	198	0.53641287738	1.0	0.25,0.538	0.444,0.667	-0.161
100	"ENSG00000101474.7"	"APMAP"	chr20	-	24959402	24959518	24964538	24964655	24954280	24954373	24973229	24973278	100	77,75	73,63	124,71	110,85	198	198	0.513768923254	0.9833200293426968	0.513,0.543	0.53,0.455	0.035
108	"ENSG00000089123.11"	"TASP1"	chr20	-	13539654	13539761	13550153	13550233	13514668	13514788	13561543	13561628	108	15,12	2,8	22,13	23,10	179	198	0.0447042975863	0.2542820977114093	0.892,0.624	0.514,0.59	0.206
109	"ENSG00000089123.11"	"TASP1"	chr20	-	13550153	13550233	13561543	13561628	13539654	13539761	13567896	13568017	109	7,6	9,4	20,16	13,10	184	179	0.386991080565	0.8565158039045261	0.431,0.593	0.599,0.609	-0.092
110	"ENSG00000089123.11"	"TASP1"	chr20	-	13561543	13561628	13567896	13568017	13550153	13550233	13604092	13604161	110	15,5	15,10	7,16	21,13	198	184	0.782304714495	1.0	0.482,0.317	0.237,0.534	0.014
111	"ENSG00000089123.11"	"TASP1"	chr20	-	13567896	13568017	13604092	13604161	13561543	13561628	13605831	13605899	111	4,3	7,5	12,4	19,17	168	198	0.602181164856	1.0	0.402,0.414	0.427,0.217	0.086
112	"ENSG00000171100.10"	"MTM1"	chrX	+	149767055	149767150	149783061	149783172	149764961	149765034	149787510	149787612	112	1,8	5,2	6,5	8,5	194	198	0.862271552595	1.0	0.17,0.803	0.434,0.505	0.017
113	"ENSG00000105048.12"	"TNNT1"	chr19	-	55652250	55652280	55656911	55656933	55649328	55649442	55658048	55658075	113	6,5	14,3	3,0	9,7	121	129	0.0282325729546	0.19200890635628445	0.314,0.64	0.262,0.0	0.346
114	"ENSG00000105048.12"	"TNNT1"	chr19	-	55656911	55656933	55657812	55657834	55653224	55653288	55658048	55658075	114	2,2	34,34	0,1	11,7	121	121	0.165364220048	0.5353772221055682	0.056,0.056	0.0,0.125	-0.006
117	"ENSG00000105379.5"	"ETFB"	chr19	-	51853582	51853645	51856385	51856544	51850153	51850312	51857403	51857562	117	87,45	85,58	36,24	60,28	198	162	0.22600956252	0.637512375627487	0.456,0.388	0.329,0.412	0.052
121	"ENSG00000130529.11"	"TRPM4"	chr19	+	49669297	49669472	49671516	49671680	49661448	49661516	49671809	49671993	121	4,8	3,4	3,11	5,2	198	198	0.870397037547	1.0	0.571,0.667	0.375,0.846	0.008
122	"ENSG00000130529.11"	"TRPM4"	chr19	+	49693952	49694030	49699696	49700131	49693464	49693577	49703556	49703689	122	6,5	4,2	9,5	3,3	177	198	0.736465512259	1.0	0.627,0.737	0.77,0.651	-0.029
123	"ENSG00000105559.7"	"PLEKHA4"	chr19	-	49360678	49360753	49362116	49362396	49357473	49357521	49362725	49362941	123	1,0	0,3	0,0	0,4	198	174	1	1.0	1.0,0.0	NA,0.0	0.5
125	"ENSG00000161558.6"	"TMEM143"	chr19	-	48848416	48848611	48866547	48866788	48846577	48846708	48867154	48867195	125	4,1	0,3	2,0	0,0	198	198	1	1.0	1.0,0.25	1.0,NA	-0.375
127	"ENSG00000100038.15"	"TOP3B"	chr22	-	22322990	22323147	22326248	22326323	22321974	22322088	22326983	22327090	127	4,6	5,2	3,0	6,2	174	198	0.0453963017455	0.25542256524275303	0.477,0.773	0.363,0.0	0.444
128	"ENSG00000142230.7"	"SAE1"	chr19	+	47683402	47683560	47700489	47700634	47673074	47673180	47706927	47706997	128	1,1	156,139	0,0	44,48	198	198	1	1.0	0.006,0.007	0.0,0.0	0.007
130	"ENSG00000125746.10"	"EML2"	chr19	-	46120887	46120955	46122317	46122449	46120022	46120111	46124464	46124590	130	15,10	4,4	9,4	8,4	198	167	0.0448306053781	0.2542820977114093	0.76,0.678	0.487,0.458	0.247
131	"ENSG00000225470.2"	"JPX"	chrX	+	73166833	73167209	73214674	73214796	73164418	73164497	73218602	73218679	131	2,3	8,9	1,10	0,1	198	198	9.43290172639e-08	2.2025825531120653e-05	0.2,0.25	1.0,0.909	-0.73
132	"ENSG00000183668.13"	"PSG9"	chr19	-	43763008	43763287	43766011	43766290	43762353	43762608	43771935	43772301	132	1,3	1,0	0,1	0,0	198	198	1	1.0	0.5,1.0	NA,1.0	-0.25
133	"ENSG00000076928.13"	"ARHGEF1"	chr19	+	42409100	42409188	42409326	42409413	42408367	42408535	42409911	42409979	133	6,1	8,6	0,0	2,2	187	186	7.73813852903e-05	0.0027102830197927577	0.427,0.142	0.0,0.0	0.284
135	"ENSG00000130402.7"	"ACTN4"	chr19	+	39200896	39200982	39201915	39202001	39200034	39200116	39205108	39205201	135	131,139	0,0	43,45	0,2	185	185	0.59893047071	1.0	1.0,1.0	1.0,0.957	0.022
136	"ENSG00000130402.7"	"ACTN4"	chr19	+	39218585	39218666	39218955	39219021	39217596	39217743	39219635	39219794	136	89,57	1,0	29,25	2,0	180	165	0.370531441603	0.8414009085153049	0.988,1.0	0.93,1.0	0.029
138	"ENSG00000167645.12"	"YIF1B"	chr19	-	38798236	38798392	38799431	38799489	38798067	38798161	38799618	38799697	138	16,8	22,19	14,2	13,17	157	198	0.610332700724	1.0	0.478,0.347	0.576,0.129	0.06
142	"ENSG00000105677.7"	"TMEM147"	chr19	+	36037427	36037487	36037573	36037931	36036789	36036859	36038020	36038142	142	48,41	80,45	25,9	30,10	159	198	0.58300890508	1.0	0.428,0.532	0.509,0.528	-0.038
143	"ENSG00000126261.8"	"UBA2"	chr19	+	34945348	34945461	34949673	34949829	34945164	34945258	34951374	34951471	143	14,12	44,38	4,5	14,24	198	198	0.408690847648	0.8802568792555805	0.241,0.24	0.222,0.172	0.043
144	"ENSG00000105171.5"	"POP4"	chr19	+	30101315	30101364	30102768	30102846	30099563	30099616	30103023	30103085	144	49,33	19,11	15,9	5,6	148	177	0.756557108083	1.0	0.755,0.782	0.782,0.642	0.056
145	"ENSG00000105669.8"	"COPE"	chr19	-	19017768	19017921	19021779	19021880	19016384	19016438	19023792	19023855	145	61,56	58,51	52,32	41,28	198	198	0.588911676196	1.0	0.513,0.523	0.559,0.533	-0.028
149	"ENSG00000268790.1"	"CTC-429P9.4"	chr19	-	16764845	16764936	16770205	16770258	16757906	16758072	16770769	16770811	149	68,56	19,28	44,14	18,4	152	190	0.863301283831	1.0	0.817,0.714	0.753,0.814	-0.018
150	"ENSG00000127527.9"	"EPS15L1"	chr19	-	16472589	16472795	16487932	16488065	16466049	16466662	16495939	16496022	150	12,3	3,7	6,4	6,0	198	198	0.442434919607	0.9088729067000102	0.8,0.3	0.5,1.0	-0.2
152	"ENSG00000123159.11"	"GIPC1"	chr19	-	14593500	14593818	14602467	14602555	14591404	14591590	14606848	14606944	152	3,0	41,39	0,0	40,27	187	198	0.529676174953	0.994740376821921	0.072,0.0	0.0,0.0	0.036
154	"ENSG00000105607.8"	"GCDH"	chr19	+	13002929	13002992	13004296	13004467	13002644	13002788	13006805	13006935	154	11,17	5,7	10,13	8,15	162	198	0.051817873158	0.2789556722306141	0.729,0.748	0.604,0.514	0.179
155	"ENSG00000104774.8"	"MAN2B1"	chr19	-	12769241	12769324	12772073	12772190	12769037	12769158	12774130	12774276	155	16,11	7,8	6,10	9,3	198	182	0.721580105921	1.0	0.678,0.558	0.38,0.754	0.051
156	"ENSG00000130164.7"	"LDLR"	chr19	+	11213339	11213462	11215895	11216276	11210898	11211021	11217240	11217363	156	4,7	10,24	2,1	4,3	198	198	0.743213159411	1.0	0.286,0.226	0.333,0.25	-0.035
157	"ENSG00000130164.7"	"LDLR"	chr19	+	11231045	11231198	11233849	11234020	11230767	11230909	11238683	11238761	157	10,12	4,11	3,1	7,1	198	198	0.0929067974017	0.3850959265082299	0.714,0.522	0.3,0.5	0.218
158	"ENSG00000130164.7"	"LDLR"	chr19	+	11233849	11234020	11238683	11238761	11231045	11231198	11240188	11240346	158	8,6	10,9	5,0	3,1	198	177	0.844344602514	1.0	0.417,0.373	0.598,0.0	0.096
159	"ENSG00000079805.12"	"DNM2"	chr19	+	10906736	10906875	10908055	10908194	10906047	10906115	10909161	10909248	159	44,49	2,0	32,16	1,0	198	198	0.676500999247	1.0	0.957,1.0	0.97,1.0	-0.007
161	"ENSG00000171466.5"	"ZNF562"	chr19	-	9768684	9768811	9770054	9770143	9767222	9767329	9771395	9771550	161	14,8	16,11	1,4	5,7	188	198	0.164841581977	0.5353772221055682	0.48,0.434	0.174,0.376	0.182
162	"ENSG00000171469.6"	"ZNF561"	chr19	-	9727720	9727847	9728766	9728855	9724696	9724779	9730107	9730258	162	11,5	9,7	1,0	6,1	188	198	0.000291767441321	0.006928240428656288	0.563,0.429	0.149,0.0	0.421
163	"ENSG00000090661.7"	"CERS4"	chr19	+	8306224	8306341	8315927	8316133	8275589	8275746	8319382	8319500	163	0,3	14,14	6,2	24,13	198	198	0.127015365794	0.4719214803450476	0.0,0.176	0.2,0.133	-0.079
164	"ENSG00000090661.7"	"CERS4"	chr19	+	8306224	8306341	8315959	8316133	8275589	8275746	8319382	8319500	164	0,3	20,18	6,2	26,13	198	198	0.0648534775093	0.32105908830575725	0.0,0.143	0.188,0.133	-0.089
165	"ENSG00000090661.7"	"CERS4"	chr19	+	8306224	8306341	8315993	8316133	8275589	8275746	8319382	8319500	165	0,3	14,14	6,2	24,12	198	198	0.118355532006	0.45181498730355857	0.0,0.176	0.2,0.143	-0.083
166	"ENSG00000125734.9"	"GPR108"	chr19	-	6735632	6735715	6735918	6735969	6734193	6734318	6736602	6736722	166	4,1	26,33	5,8	27,18	150	182	0.0170882038884	0.1391893816723744	0.157,0.035	0.183,0.35	-0.17
167	"ENSG00000087903.8"	"RFX2"	chr19	-	6042054	6042134	6044203	6044293	6039990	6040252	6047417	6047515	167	0,0	3,1	3,2	0,1	189	179	5.11081299504e-09	2.3867496686836802e-06	0.0,0.0	1.0,0.654	-0.827
169	"ENSG00000227500.5"	"SCAMP4"	chr19	+	1918125	1918282	1918887	1918989	1917692	1917821	1923068	1923186	169	3,2	8,6	2,8	1,0	198	198	4.35030979062e-06	0.00032077810613992733	0.273,0.25	0.667,1.0	-0.572
170	"ENSG00000122490.14"	"PQLC1"	chr18	-	77679183	77679400	77693968	77694022	77662419	77664183	77703328	77703462	170	3,11	25,11	2,1	22,16	153	198	0.0147108091081	0.12806057880449265	0.134,0.564	0.105,0.075	0.259
172	"ENSG00000133313.10"	"CNDP2"	chr18	+	72173083	72173246	72178047	72178248	72168563	72168707	72179682	72179767	172	63,59	42,38	10,18	5,7	198	198	0.201241621361	0.5925604233931512	0.6,0.608	0.667,0.72	-0.09
174	"ENSG00000215472.5"	"RPL17-C18orf32"	chr18	-	47017162	47017297	47017774	47017815	47016823	47016922	47017901	47017956	174	724,388	439,469	235,103	205,131	140	198	0.411042053396	0.8802568792555805	0.7,0.539	0.619,0.527	0.046
190	"ENSG00000134759.9"	"ELP2"	chr18	+	33718757	33718835	33719381	33719576	33718232	33718389	33721099	33721164	190	8,8	0,0	13,13	8,3	177	198	2.35791376334e-05	0.0011797989937283356	1.0,1.0	0.645,0.829	0.263
191	"ENSG00000134759.9"	"ELP2"	chr18	+	33718757	33718835	33721099	33721164	33718232	33718389	33722788	33722929	191	4,5	0,1	7,5	0,0	177	164	1	1.0	1.0,0.822	1.0,1.0	-0.089
192	"ENSG00000134759.9"	"ELP2"	chr18	+	33722243	33722310	33722788	33722929	33721099	33721164	33724901	33724997	192	13,11	36,23	9,15	16,13	166	198	0.0878034372497	0.3740566121909645	0.301,0.363	0.402,0.579	-0.159
206	"ENSG00000141380.9"	"SS18"	chr18	-	23660268	23660387	23662326	23662492	23658039	23658124	23667464	23667541	206	2,3	0,0	0,0	0,1	198	198	1	1.0	1.0,1.0	NA,0.0	1.0
207	"ENSG00000141380.9"	"SS18"	chr18	-	23660268	23660387	23664015	23664139	23658039	23658124	23667464	23667541	207	1,2	0,0	0,0	0,1	198	198	1	1.0	1.0,1.0	NA,0.0	1.0
213	"ENSG00000101773.12"	"RBBP8"	chr18	+	20586325	20586395	20596790	20596887	20581548	20581692	20602091	20602233	213	24,28	27,23	3,1	4,4	169	196	0.198409920874	0.5886725679437125	0.508,0.585	0.465,0.225	0.201
214	"ENSG00000175354.14"	"PTPN2"	chr18	-	12817154	12817364	12825808	12825943	12814201	12814354	12830941	12831040	214	19,15	7,7	13,11	12,7	198	198	0.13725321889	0.49305579401253846	0.731,0.682	0.52,0.611	0.141
216	"ENSG00000049759.12"	"NEDD4L"	chr18	+	56008909	56009029	56010137	56010335	56001049	56001124	56016768	56016846	216	0,1	5,10	0,0	4,1	198	198	1	1.0	0.0,0.091	0.0,0.0	0.045
221	"ENSG00000178927.12"	"C17orf62"	chr17	-	80404498	80404572	80405455	80405497	80403739	80403836	80407045	80407168	221	20,15	27,28	8,6	14,5	141	173	0.725724675379	1.0	0.476,0.397	0.412,0.596	-0.068
222	"ENSG00000178927.12"	"C17orf62"	chr17	-	80407306	80407356	80408074	80408130	80407045	80407168	80408575	80408651	222	0,0	9,10	5,1	4,1	155	149	3.68356551206e-06	0.000291473050715965	0.0,0.0	0.546,0.49	-0.518
223	"ENSG00000169660.11"	"HEXDC"	chr17	+	80382269	80382379	80385905	80386003	80377624	80377759	80386433	80386521	223	6,14	0,0	29,15	1,0	198	197	1	1.0	1.0,1.0	0.967,1.0	0.016
224	"ENSG00000169660.11"	"HEXDC"	chr17	+	80382294	80382379	80385905	80386003	80377624	80377759	80386433	80386521	224	3,6	0,0	10,4	1,0	184	197	1	1.0	1.0,1.0	0.915,1.0	0.042
228	"ENSG00000173818.12"	"ENDOV"	chr17	+	78399258	78399420	78402395	78402460	78398831	78398900	78403572	78403631	228	1,3	9,2	1,0	4,2	198	164	0.0220797777841	0.16235443423741883	0.084,0.554	0.172,0.0	0.233
229	"ENSG00000173818.12"	"ENDOV"	chr17	+	78399291	78399420	78402395	78402460	78398831	78398900	78403572	78403631	229	26,15	9,2	7,11	4,2	198	164	0.86650800235	1.0	0.705,0.861	0.592,0.82	0.077
230	"ENSG00000087157.14"	"PGS1"	chr17	+	76396757	76396936	76399648	76400170	76395428	76395618	76411032	76411108	230	10,5	5,0	7,12	7,2	198	198	0.422817423685	0.8881067624927812	0.667,1.0	0.5,0.857	0.155
234	"ENSG00000182473.16"	"EXOC7"	chr17	-	74086409	74086478	74087223	74087316	74085255	74085401	74090494	74090662	234	11,11	20,12	3,5	6,0	192	168	0.179724347267	0.5580898862708894	0.325,0.445	0.304,1.0	-0.267
235	"ENSG00000161533.7"	"ACOX1"	chr17	-	73956295	73956456	73969705	73969866	73953539	73953647	73974614	73974774	235	5,9	66,48	5,5	28,15	198	198	0.251146453793	0.6731717813225162	0.07,0.158	0.152,0.25	-0.087
237	"ENSG00000181392.10"	"SYNE4"	chr19	-	36497324	36497573	36497651	36497846	36496234	36496339	36498026	36498170	237	14,14	24,22	5,4	2,0	198	198	0.000686748860566	0.01417367060157675	0.368,0.389	0.714,1.0	-0.478
238	"ENSG00000181392.10"	"SYNE4"	chr19	-	36497324	36497573	36498026	36498170	36496234	36496339	36499118	36499269	238	22,7	24,22	3,4	2,0	198	198	0.00470821922513	0.052769721075257035	0.478,0.241	0.6,1.0	-0.441
239	"ENSG00000181392.10"	"SYNE4"	chr19	-	36497503	36497573	36497651	36497846	36496234	36496339	36498026	36498170	239	14,14	1,2	5,4	0,1	198	169	0.187026181572	0.5708576914648628	0.923,0.857	1.0,0.773	0.003
240	"ENSG00000266173.1"	"STRADA"	chr17	-	61791365	61791468	61803997	61804055	61790765	61790887	61805693	61805773	240	0,2	5,3	1,0	3,8	157	198	0.489300921228	0.966869662398347	0.0,0.457	0.296,0.0	0.081
243	"ENSG00000108443.9"	"RPS6KB1"	chr17	+	57991995	57992064	58003795	58003943	57990044	57990165	58007477	58007535	243	11,12	11,9	3,5	1,1	168	198	0.0197032734726	0.1525098681497934	0.541,0.611	0.78,0.855	-0.241
