ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
91	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545749	239492708	239492807	239632223	239632286	91	1,2	0,0	8,3	0,1	198	99	1	1.0	1.0,1.0	1.0,0.6	0.2
92	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239492708	239492807	239632223	239632286	92	0,1	0,0	6,2	0,1	198	99	1	1.0	NA,1.0	1.0,0.5	0.25
93	"ENSG00000133019.12"	"CHRM3"	chr1	+	239632223	239632286	239545640	239545749	239678185	239678288	93	4,4	2,0	3,2	1,3	162	99	0.0611067270795	0.48731139200268553	0.55,1.0	0.647,0.289	0.307
94	"ENSG00000133019.12"	"CHRM3"	chr1	+	239632223	239632286	239545640	239545753	239678185	239678288	94	3,3	1,0	1,1	0,0	162	99	1	1.0	0.647,1.0	1.0,1.0	-0.176
95	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170716	12170770	12165329	12167811	12170899	12170908	95	171,118	0,1	67,49	0,0	153	99	1	1.0	1.0,0.987	1.0,1.0	-0.006
96	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170899	12170908	12170716	12170770	12172764	12172866	96	122,75	7,12	46,29	5,1	108	99	0.382253558928	1.0	0.941,0.851	0.894,0.964	-0.033
97	"ENSG00000165609.14"	"NUDT5"	chr10	-	12173717	12173813	12172489	12172866	12177792	12177900	97	287,233	1,2	91,39	0,0	195	99	1	1.0	0.993,0.983	1.0,1.0	-0.012
98	"ENSG00000165609.14"	"NUDT5"	chr10	-	12180394	12180489	12179082	12179132	12184888	12184956	98	0,1	106,82	0,0	36,17	194	99	1	1.0	0.0,0.006	0.0,0.0	0.003
100	"ENSG00000284626.1"	"ENSG00000284626"	chr15	+	90236062	90236181	90234521	90234596	90238491	90238548	100	0,1	1,3	4,2	5,0	198	99	0.00276534589093	0.059243394388841325	0.0,0.143	0.286,1.0	-0.572
101	"ENSG00000284626.1"	"ENSG00000284626"	chr15	+	90240899	90241724	90238491	90238548	90251553	90251594	101	7,4	0,0	5,5	0,1	198	99	1	1.0	1.0,1.0	1.0,0.714	0.143
103	"ENSG00000151461.20"	"UPF2"	chr10	-	11929864	11929985	11920021	11921307	11931640	11931782	103	22,26	0,0	8,4	1,0	198	99	1	1.0	1.0,1.0	0.8,1.0	0.1
104	"ENSG00000151461.20"	"UPF2"	chr10	-	11979056	11979165	11967340	11967454	11997671	11997757	104	22,24	0,0	19,7	1,0	198	99	1	1.0	1.0,1.0	0.905,1.0	0.047
105	"ENSG00000151461.20"	"UPF2"	chr10	-	11999905	12000009	11997671	11997757	12001675	12001825	105	31,32	2,0	17,9	0,0	198	99	0.608507056417	1.0	0.886,1.0	1.0,1.0	-0.057
106	"ENSG00000151461.20"	"UPF2"	chr10	-	12001675	12001825	11999905	12000009	12004529	12004727	106	18,29	1,0	8,7	0,0	198	99	1	1.0	0.9,1.0	1.0,1.0	-0.05
141	"ENSG00000162642.14"	"C1orf52"	chr1	-	85258934	85259061	85258523	85258722	85259357	85259633	141	13,9	5,1	14,11	11,10	198	99	0.0329858503967	0.3200597299797232	0.565,0.818	0.389,0.355	0.32
148	"ENSG00000013441.17"	"CLK1"	chr2	-	200860124	200860215	200859679	200859746	200861237	200861466	148	8,10	0,2	3,7	0,0	190	99	0.735629859224	1.0	1.0,0.723	1.0,1.0	-0.139
149	"ENSG00000013441.17"	"CLK1"	chr2	-	200861701	200861862	200859679	200861466	200864100	200864252	149	8,9	0,0	4,3	1,0	198	99	1	1.0	1.0,1.0	0.667,1.0	0.166
151	"ENSG00000135048.14"	"CEMIP2"	chr9	-	71734805	71734994	71732350	71732520	71740062	71740232	151	7,3	0,0	59,44	2,1	198	99	0.612200965302	1.0	1.0,1.0	0.937,0.957	0.053
154	"ENSG00000102531.16"	"FNDC3A"	chr13	+	49172042	49172096	49168612	49168751	49174434	49174559	154	14,17	0,0	5,2	8,0	153	99	0.000829502032754	0.026009780394485194	1.0,1.0	0.288,1.0	0.356
155	"ENSG00000102531.16"	"FNDC3A"	chr13	+	49201132	49201229	49198361	49198574	49201799	49201966	155	1,0	7,3	0,0	9,4	196	99	1	1.0	0.067,0.0	0.0,0.0	0.034
160	"ENSG00000284292.1"	"ENSG00000284292"	chr7	+	99348851	99348959	99344292	99344515	99353908	99354121	160	97,117	0,1	35,18	0,0	198	99	1	1.0	1.0,0.983	1.0,1.0	-0.008
166	"ENSG00000134461.16"	"ANKRD16"	chr10	-	5880297	5880376	5878086	5878287	5883005	5883167	166	14,9	1,0	2,4	0,0	178	99	1	1.0	0.886,1.0	1.0,1.0	-0.057
167	"ENSG00000139722.7"	"VPS37B"	chr12	-	122870889	122871055	122868479	122868562	122895951	122896127	167	7,8	1,0	4,3	0,0	198	99	1	1.0	0.778,1.0	1.0,1.0	-0.111
168	"ENSG00000139722.7"	"VPS37B"	chr12	-	122870889	122871061	122868479	122868562	122895951	122896124	168	13,25	1,0	13,13	0,0	198	99	1	1.0	0.867,1.0	1.0,1.0	-0.067
174	"ENSG00000067057.19"	"PFKP"	chr10	+	3119891	3120044	3118781	3118869	3129818	3129983	174	113,92	0,0	125,78	1,0	198	99	1	1.0	1.0,1.0	0.984,1.0	0.008
178	"ENSG00000185651.16"	"UBE2L3"	chr22	+	21614556	21614665	21610856	21611043	21621514	21621873	178	0,1	87,75	0,0	21,26	198	99	1	1.0	0.0,0.007	0.0,0.0	0.004
180	"ENSG00000015171.21"	"ZMYND11"	chr10	+	179993	180128	135068	135302	209888	210048	180	66,48	1,0	11,11	0,0	198	99	1	1.0	0.971,1.0	1.0,1.0	-0.014
185	"ENSG00000015171.21"	"ZMYND11"	chr10	+	221194	221356	209888	210048	236837	236915	185	63,52	6,6	3,6	1,1	198	99	0.841278847201	1.0	0.84,0.812	0.6,0.75	0.151
190	"ENSG00000015171.21"	"ZMYND11"	chr10	+	247397	247466	246765	246973	248335	248531	190	74,64	1,0	15,15	0,1	168	99	1	1.0	0.978,1.0	1.0,0.898	0.04
191	"ENSG00000181090.21"	"EHMT1"	chr9	+	137637501	137637624	137619006	137619049	137710966	137711030	191	0,1	12,6	0,0	11,7	198	99	1	1.0	0.0,0.077	0.0,0.0	0.038
192	"ENSG00000181090.21"	"EHMT1"	chr9	+	137650859	137651037	137619002	137619049	137710966	137711030	192	0,1	12,6	3,0	11,7	198	99	0.402239926568	1.0	0.0,0.077	0.12,0.0	-0.021
193	"ENSG00000181090.21"	"EHMT1"	chr9	+	137710966	137711030	137618991	137619049	137716625	137716953	193	17,10	3,2	12,8	1,0	163	99	0.00555869478899	0.09537014363778049	0.775,0.752	0.879,1.0	-0.176
194	"ENSG00000181090.21"	"EHMT1"	chr9	+	137752330	137752408	137743901	137744090	137754170	137754221	194	32,37	1,2	20,8	2,4	177	99	0.027663348567	0.2851686937925579	0.947,0.912	0.848,0.528	0.242
195	"ENSG00000181090.21"	"EHMT1"	chr9	+	137762674	137762820	137757879	137758011	137775108	137775252	195	37,38	0,1	19,14	0,0	198	99	1	1.0	1.0,0.95	1.0,1.0	-0.025
196	"ENSG00000181090.21"	"EHMT1"	chr9	+	137775108	137775252	137762674	137762820	137776617	137776840	196	50,32	2,1	26,20	1,0	198	99	1	1.0	0.926,0.941	0.929,1.0	-0.031
197	"ENSG00000181090.21"	"EHMT1"	chr9	+	137790847	137790970	137782290	137782397	137798812	137798914	197	26,49	0,0	28,30	0,1	198	99	1	1.0	1.0,1.0	1.0,0.938	0.031
198	"ENSG00000181090.21"	"EHMT1"	chr9	+	137802856	137803010	137800879	137800984	137811460	137811491	198	1,1	34,6	0,0	16,8	198	99	0.503762292261	1.0	0.014,0.077	0.0,0.0	0.045
199	"ENSG00000181090.21"	"EHMT1"	chr9	+	137803243	137803352	137800879	137800984	137811460	137811615	199	3,0	34,6	0,0	16,8	198	99	0.610747120961	1.0	0.042,0.0	0.0,0.0	0.021
200	"ENSG00000181090.21"	"EHMT1"	chr9	+	137811460	137811615	137800879	137800984	137813005	137813173	200	56,24	0,0	30,31	2,0	198	99	0.62770125753	1.0	1.0,1.0	0.882,1.0	0.059
201	"ENSG00000188747.9"	"NOXA1"	chr9	+	137429275	137429383	137428881	137429016	137430783	137430843	201	11,11	0,0	26,25	1,0	198	99	1	1.0	1.0,1.0	0.929,1.0	0.035
207	"ENSG00000188566.15"	"NDOR1"	chr9	+	137213966	137214068	137213779	137213878	137214203	137214413	207	2,4	0,3	0,3	0,0	198	99	1	1.0	1.0,0.4	NA,1.0	-0.3
209	"ENSG00000108679.13"	"LGALS3BP"	chr17	-	78972969	78973222	78971254	78972704	78974687	78974772	209	2,5	0,0	0,3	0,2	198	99	1	1.0	1.0,1.0	NA,0.429	0.571
210	"ENSG00000108679.13"	"LGALS3BP"	chr17	-	78972969	78973343	78972469	78972704	78974687	78974819	210	1,4	0,0	0,0	0,2	198	99	1	1.0	1.0,1.0	NA,0.0	1.0
222	"ENSG00000165006.14"	"UBAP1"	chr9	+	34250657	34250759	34249778	34249961	34251391	34251698	222	18,26	0,0	12,8	0,1	198	99	1	1.0	1.0,1.0	1.0,0.8	0.1
223	"ENSG00000197355.11"	"UAP1L1"	chr9	+	137078049	137078254	137077516	137077821	137078501	137078677	223	3,8	1,0	5,1	0,0	198	99	1	1.0	0.6,1.0	1.0,1.0	-0.2
225	"ENSG00000107331.18"	"ABCA2"	chr9	-	137023837	137023840	137022940	137023052	137024142	137024236	225	2,3	8,5	8,10	0,5	102	99	0.000723234094829	0.023420078858157382	0.195,0.368	1.0,0.66	-0.549
226	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992700	136992421	136992562	136992924	136992974	226	75,65	1,0	50,17	0,0	160	99	1	1.0	0.979,1.0	1.0,1.0	-0.01
228	"ENSG00000184925.12"	"LCN12"	chr9	+	136951274	136951396	136949550	136949668	136952319	136952441	228	0,0	1,0	0,5	0,0	198	99	1	1.0	0.0,NA	NA,1.0	-1.0
230	"ENSG00000184925.12"	"LCN12"	chr9	+	136953923	136953964	136953616	136953779	136954153	136954255	230	0,0	0,1	1,1	0,3	140	99	1	1.0	NA,0.0	1.0,0.191	-0.596
235	"ENSG00000177879.17"	"AP3S1"	chr5	+	115852978	115853014	115841996	115842106	115866669	115866761	235	0,1	15,19	1,1	13,14	135	99	0.408188490692	1.0	0.0,0.037	0.053,0.05	-0.033
236	"ENSG00000177879.17"	"AP3S1"	chr5	+	115866669	115866761	115841934	115842106	115895086	115895158	236	15,21	0,1	12,13	0,0	191	99	1	1.0	1.0,0.916	1.0,1.0	-0.042
237	"ENSG00000177879.17"	"AP3S1"	chr5	+	115870016	115870128	115866660	115866761	115895086	115895158	237	24,18	0,2	30,19	0,0	198	99	0.87133358494	1.0	1.0,0.818	1.0,1.0	-0.091
239	"ENSG00000177879.17"	"AP3S1"	chr5	+	115902884	115902992	115895086	115895158	115913361	115914011	239	21,21	0,0	32,8	2,2	198	99	0.0138086880565	0.18213215299186564	1.0,1.0	0.889,0.667	0.222
246	"ENSG00000169692.14"	"AGPAT2"	chr9	-	136676584	136676680	136674734	136674807	136676960	136677136	246	33,39	3,2	77,48	2,1	195	99	0.130274418205	0.8026519335805243	0.848,0.908	0.951,0.961	-0.078
252	"ENSG00000148396.19"	"SEC16A"	chr9	-	136445051	136445111	136443822	136443900	136445644	136445719	252	0,5	4,3	4,0	0,0	159	99	1	1.0	0.0,0.509	1.0,NA	-0.746
256	"ENSG00000148396.19"	"SEC16A"	chr9	-	136478708	136478830	136474048	136477684	136482937	136483040	256	2,1	4,11	1,0	11,6	198	99	0.274224971108	1.0	0.2,0.043	0.043,0.0	0.1
258	"ENSG00000165689.17"	"ENTR1"	chr9	-	136408998	136409067	136407825	136407938	136410089	136410239	258	20,12	9,5	5,3	0,1	168	99	0.00202778332741	0.046728498261397466	0.567,0.586	1.0,0.639	-0.243
259	"ENSG00000165689.17"	"ENTR1"	chr9	-	136408998	136409067	136407825	136407938	136410327	136410593	259	14,10	1,4	3,0	4,0	168	99	1	1.0	0.892,0.596	0.307,NA	0.437
260	"ENSG00000165689.17"	"ENTR1"	chr9	-	136410089	136410239	136407825	136407938	136410327	136410609	260	13,15	1,4	2,5	4,0	198	99	0.704593367351	1.0	0.867,0.652	0.2,1.0	0.16
261	"ENSG00000165689.17"	"ENTR1"	chr9	-	136410089	136410239	136408998	136409067	136410327	136410609	261	10,14	0,2	4,7	0,0	198	99	0.979972054038	1.0	1.0,0.778	1.0,1.0	-0.111
262	"ENSG00000111912.20"	"NCOA7"	chr6	+	125796679	125796797	125790939	125791067	125815290	125815404	262	2,0	0,0	2,3	3,0	198	99	1	1.0	1.0,NA	0.25,1.0	0.375
266	"ENSG00000165661.18"	"QSOX2"	chr9	-	136224860	136224909	136224006	136224112	136226773	136226874	266	9,7	0,0	7,13	2,0	148	99	0.657750341179	1.0	1.0,1.0	0.701,1.0	0.149
267	"ENSG00000115380.20"	"EFEMP1"	chr2	-	55876622	55876742	55874945	55875065	55877745	55877865	267	148,150	1,1	45,53	0,0	198	99	1	1.0	0.987,0.987	1.0,1.0	-0.013
268	"ENSG00000115380.20"	"EFEMP1"	chr2	-	55877745	55877865	55874945	55875065	55881611	55881734	268	82,41	1,4	26,7	0,0	198	99	0.0302371657032	0.3020493319153669	0.976,0.837	1.0,1.0	-0.094
274	"ENSG00000115380.20"	"EFEMP1"	chr2	-	55922898	55922939	55922359	55922447	55923710	55923782	274	34,16	62,51	1,4	14,9	140	99	0.0728210207218	0.5473436824172803	0.279,0.182	0.048,0.239	0.087
277	"ENSG00000134644.16"	"PUM1"	chr1	-	30941921	30942123	30941150	30941272	30945345	30945372	277	17,14	1,0	24,26	2,1	198	99	0.138198862038	0.8350705239782314	0.895,1.0	0.857,0.929	0.054
278	"ENSG00000134644.16"	"PUM1"	chr1	-	30941997	30942123	30941150	30941272	30945345	30945483	278	27,22	1,0	36,36	2,1	198	99	1	1.0	0.931,1.0	0.9,0.947	0.042
280	"ENSG00000134644.16"	"PUM1"	chr1	-	30964673	30964910	30953713	30953981	30965981	30966197	280	40,32	3,1	41,35	8,2	198	99	0.105017203067	0.6949003157886662	0.87,0.941	0.719,0.897	0.097
281	"ENSG00000134644.16"	"PUM1"	chr1	-	30980061	30980163	30974648	30974802	30981311	30981405	281	34,20	1,0	22,26	0,0	198	99	1	1.0	0.944,1.0	1.0,1.0	-0.028
282	"ENSG00000134644.16"	"PUM1"	chr1	-	30980061	30980166	30974650	30974802	30981311	30981405	282	37,17	1,0	28,23	0,0	198	99	1	1.0	0.949,1.0	1.0,1.0	-0.026
283	"ENSG00000134644.16"	"PUM1"	chr1	-	30980061	30980178	30974650	30974802	30981311	30981405	283	25,12	1,0	18,18	0,0	198	99	1	1.0	0.926,1.0	1.0,1.0	-0.037
285	"ENSG00000134644.16"	"PUM1"	chr1	-	31006993	31007102	30981337	30981405	31028795	31028864	285	21,26	0,1	16,32	0,0	198	99	1	1.0	1.0,0.929	1.0,1.0	-0.035
286	"ENSG00000134644.16"	"PUM1"	chr1	-	31055312	31055380	31028795	31028864	31059203	31059577	286	1,0	26,23	0,0	26,16	167	99	1	1.0	0.022,0.0	0.0,0.0	0.011
287	"ENSG00000134644.16"	"PUM1"	chr1	-	31055312	31055380	31028795	31028864	31059298	31059577	287	0,0	1,1	4,0	1,0	167	99	1	1.0	0.0,0.0	0.703,NA	-0.703
288	"ENSG00000165533.19"	"TTC8"	chr14	+	88833692	88833722	88824650	88824821	88839451	88839572	288	0,0	26,17	0,2	15,4	129	99	0.692724329642	1.0	0.0,0.0	0.0,0.277	-0.139
290	"ENSG00000165533.19"	"TTC8"	chr14	+	88841424	88841514	88841036	88841196	88843805	88843850	290	31,18	7,5	15,11	8,4	189	99	0.196294338332	1.0	0.699,0.653	0.495,0.59	0.133
293	"ENSG00000165533.19"	"TTC8"	chr14	+	88846847	88846907	88843805	88843850	88852970	88853056	293	2,0	11,13	0,0	11,4	159	99	0.609393476672	1.0	0.102,0.0	0.0,0.0	0.051
295	"ENSG00000165533.19"	"TTC8"	chr14	+	88875025	88875109	88872329	88872452	88877293	88877951	295	58,34	3,0	34,17	0,0	183	99	0.574290849847	1.0	0.913,1.0	1.0,1.0	-0.043
306	"ENSG00000175354.20"	"PTPN2"	chr18	-	12793481	12793574	12785480	12785844	12794383	12794485	306	0,0	4,6	1,0	6,4	192	99	1	1.0	0.0,0.0	0.079,0.0	-0.04
308	"ENSG00000175354.20"	"PTPN2"	chr18	-	12817155	12817265	12814324	12814355	12825809	12825944	308	7,7	0,1	12,7	0,0	198	99	1	1.0	1.0,0.778	1.0,1.0	-0.111
309	"ENSG00000175354.20"	"PTPN2"	chr18	-	12817155	12817365	12814196	12814355	12825809	12825944	309	7,15	0,1	17,9	0,0	198	99	1	1.0	1.0,0.882	1.0,1.0	-0.059
310	"ENSG00000175354.20"	"PTPN2"	chr18	-	12819213	12819282	12817155	12817365	12825809	12825944	310	1,0	0,8	0,0	5,2	168	99	1	1.0	1.0,0.0	0.0,0.0	0.5
313	"ENSG00000175354.20"	"PTPN2"	chr18	-	12840713	12840962	12836790	12836891	12859163	12859254	313	0,1	15,10	0,0	3,2	198	99	1	1.0	0.0,0.048	0.0,0.0	0.024
317	"ENSG00000160325.15"	"CACFD1"	chr9	+	133465321	133465447	133463482	133463555	133467920	133468028	317	32,24	1,3	23,10	3,0	198	99	0.792025167678	1.0	0.941,0.8	0.793,1.0	-0.026
318	"ENSG00000160325.15"	"CACFD1"	chr9	+	133468339	133468464	133467920	133468028	133468562	133470787	318	5,2	16,12	3,0	11,18	198	99	0.100149114635	0.6784102561304743	0.135,0.077	0.12,0.0	0.046
319	"ENSG00000148248.14"	"SURF4"	chr9	-	133364839	133365026	133361449	133363759	133365984	133366028	319	177,188	0,4	104,67	3,1	198	99	0.449087222735	1.0	1.0,0.959	0.945,0.971	0.022
321	"ENSG00000148248.14"	"SURF4"	chr9	-	133375238	133375388	133367258	133367445	133375921	133376166	321	0,1	100,120	0,0	47,39	198	99	1	1.0	0.0,0.004	0.0,0.0	0.002
322	"ENSG00000148297.16"	"MED22"	chr9	-	133346539	133346700	133345171	133345252	133347921	133348117	322	39,29	1,0	3,8	0,0	198	99	1	1.0	0.951,1.0	1.0,1.0	-0.024
324	"ENSG00000165699.15"	"TSC1"	chr9	-	132903650	132903802	132902604	132902787	132904410	132904454	324	3,6	0,1	7,4	0,0	198	99	1	1.0	1.0,0.75	1.0,1.0	-0.125
325	"ENSG00000165699.15"	"TSC1"	chr9	-	132903650	132903817	132902604	132902787	132904410	132904454	325	7,16	0,1	10,7	0,0	198	99	1	1.0	1.0,0.889	1.0,1.0	-0.055
328	"ENSG00000165699.15"	"TSC1"	chr9	-	132924814	132924906	132923347	132923492	132925586	132925739	328	0,0	5,4	2,0	6,4	191	99	0.695775895805	1.0	0.0,0.0	0.147,0.0	-0.073
329	"ENSG00000165699.15"	"TSC1"	chr9	-	132924814	132924939	132923347	132923492	132925586	132925739	329	0,0	5,4	2,0	6,4	198	99	0.67235452392	1.0	0.0,0.0	0.143,0.0	-0.071
330	"ENSG00000165699.15"	"TSC1"	chr9	-	132924814	132925007	132923347	132923492	132925586	132925739	330	0,0	5,4	2,0	6,4	198	99	0.67235452392	1.0	0.0,0.0	0.143,0.0	-0.071
332	"ENSG00000165699.15"	"TSC1"	chr9	-	132927200	132927304	132925586	132925739	132928766	132928952	332	24,22	0,1	35,27	0,0	198	99	1	1.0	1.0,0.917	1.0,1.0	-0.041
334	"ENSG00000165699.15"	"TSC1"	chr9	-	132931208	132931304	132928766	132928952	132935032	132935095	334	0,0	12,3	0,1	20,8	195	99	1	1.0	0.0,0.0	0.0,0.06	-0.03
336	"ENSG00000165698.16"	"SPACA9"	chr9	+	132887368	132887571	132883910	132884091	132888289	132888437	336	4,4	0,1	9,11	1,0	198	99	1	1.0	1.0,0.667	0.818,1.0	-0.076
340	"ENSG00000107263.19"	"RAPGEF1"	chr9	-	131603960	131604053	131602060	131602149	131621795	131621838	340	6,2	6,3	0,0	6,6	192	99	1.87701577876e-05	0.0015326885273949395	0.34,0.256	0.0,0.0	0.298
343	"ENSG00000107263.19"	"RAPGEF1"	chr9	-	131650128	131650242	131643238	131643417	131650809	131650949	343	8,3	2,2	13,4	0,0	198	99	0.000500106090381	0.01789379591383218	0.667,0.429	1.0,1.0	-0.452
346	"ENSG00000130707.18"	"ASS1"	chr9	+	130450271	130450333	130444987	130444995	130452223	130452333	346	17,27	70,60	19,16	44,25	161	99	0.187712623373	1.0	0.13,0.217	0.21,0.282	-0.073
347	"ENSG00000130707.18"	"ASS1"	chr9	+	130451601	130452043	130444961	130444995	130452223	130452333	347	0,2	70,60	1,0	44,25	198	99	1	1.0	0.0,0.016	0.011,0.0	0.003
348	"ENSG00000130707.18"	"ASS1"	chr9	+	130454304	130454373	130452222	130452333	130458400	130458589	348	282,260	2,0	168,113	0,0	168	99	1	1.0	0.988,1.0	1.0,1.0	-0.006
350	"ENSG00000130707.18"	"ASS1"	chr9	+	130489332	130489464	130480384	130480449	130494866	130495023	350	252,219	0,0	169,110	3,0	198	99	0.485638156723	1.0	1.0,1.0	0.966,1.0	0.017
362	"ENSG00000110172.12"	"CHORDC1"	chr11	-	90206747	90206810	90206201	90206272	90210535	90210594	362	2,1	50,35	4,1	33,28	162	99	0.219592972141	1.0	0.024,0.017	0.069,0.021	-0.025
364	"ENSG00000110172.12"	"CHORDC1"	chr11	-	90216463	90216553	90215173	90215230	90218134	90218184	364	0,3	54,37	0,0	33,19	189	99	0.642600856132	1.0	0.0,0.041	0.0,0.0	0.021
367	"ENSG00000171097.14"	"KYAT1"	chr9	-	128840610	128840672	128838217	128838367	128842653	128842801	367	0,0	7,0	0,1	3,8	161	99	1	1.0	0.0,NA	0.0,0.071	-0.035
369	"ENSG00000171097.14"	"KYAT1"	chr9	-	128842653	128842801	128838217	128838367	128845352	128845408	369	11,8	0,1	14,10	0,0	198	99	1	1.0	1.0,0.8	1.0,1.0	-0.1
370	"ENSG00000171097.14"	"KYAT1"	chr9	-	128846679	128846859	128845352	128845411	128847432	128847643	370	0,4	1,0	1,1	0,1	198	99	1	1.0	0.0,1.0	1.0,0.333	-0.166
371	"ENSG00000171097.14"	"KYAT1"	chr9	-	128847432	128847643	128845352	128845411	128881896	128881931	371	1,0	2,2	0,1	6,0	198	99	1	1.0	0.2,0.0	0.0,1.0	-0.4
377	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128592982	128593042	128591476	128591625	128594174	128594373	377	64,52	1,0	41,47	0,1	159	99	1	1.0	0.976,1.0	1.0,0.967	0.004
379	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128607851	128608049	128607603	128607703	128608129	128608276	379	56,95	2,0	77,58	0,0	198	99	0.527407633804	1.0	0.933,1.0	1.0,1.0	-0.033
380	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128609650	128609665	128609121	128609284	128611713	128611845	380	8,7	24,34	6,9	32,35	114	99	0.73771269095	1.0	0.224,0.152	0.14,0.183	0.026
381	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128621666	128621998	128621157	128621256	128624327	128624487	381	0,0	38,26	0,1	25,23	198	99	1	1.0	0.0,0.0	0.0,0.021	-0.011
384	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128627924	128627942	128627385	128627498	128630320	128630375	384	48,58	5,1	53,14	1,1	117	99	0.199801961431	1.0	0.89,0.98	0.978,0.922	-0.015
385	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128629124	128629187	128627924	128627942	128630320	128630375	385	0,0	41,49	1,0	47,10	162	99	1	1.0	0.0,0.0	0.013,0.0	-0.006
386	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128630320	128630375	128627385	128627498	128632126	128632323	386	13,5	0,0	9,2	0,2	154	99	0.35183119391	1.0	1.0,1.0	1.0,0.391	0.304
387	"ENSG00000125743.11"	"SNRPD2"	chr19	-	45689232	45689347	45688386	45688566	45691886	45691941	387	2,2	290,278	0,1	222,118	198	99	1	1.0	0.003,0.004	0.0,0.004	0.002
388	"ENSG00000125743.11"	"SNRPD2"	chr19	-	45690571	45690667	45688386	45688566	45691886	45691940	388	0,1	290,278	1,0	222,118	195	99	1	1.0	0.0,0.002	0.002,0.0	0.0
389	"ENSG00000125743.11"	"SNRPD2"	chr19	-	45691886	45691992	45688386	45688566	45692165	45692316	389	290,278	0,0	222,118	1,0	198	99	1	1.0	1.0,1.0	0.991,1.0	0.004
390	"ENSG00000167123.20"	"CERCAM"	chr9	+	128421203	128421511	128420480	128421074	128422867	128422978	390	0,3	28,24	4,2	8,10	198	99	0.0224531401193	0.24907700790184262	0.0,0.059	0.2,0.091	-0.116
391	"ENSG00000167123.20"	"CERCAM"	chr9	+	128427651	128427779	128424409	128424614	128428301	128428421	391	0,0	17,22	1,2	10,1	198	99	0.210914675985	1.0	0.0,0.0	0.048,0.5	-0.274
406	"ENSG00000148337.22"	"CIZ1"	chr9	-	128169622	128169700	128169405	128169519	128170019	128170107	406	0,0	16,12	0,1	1,1	177	99	1	1.0	0.0,0.0	0.0,0.359	-0.179
